ἀπὸ,from,6,,Ἀτρεΐδα,the sons of Atreus,1,,ἱερῆα,the priest,1
τις,one,6,,δύω,two,1,,ἥνδανε,please,1
δέ,and,6,,ἔχων,held,1,,ἐπὶ ἔτελλε,laid upon,1
τοῖς,the,6,,ἁζόμενοι,out of reverence,1,,τὴν,Her,1
περὶ,about,6,,ἐμοὶ,my,1,,ἐποιχομένην,as she walks to and fro before,1
μή,not,5,,θ᾽,the,1,,ἐρέθιζε,anger,1
ὅ,he,5,,ἱερῆα,priest,1,,σαώτερος,safer,1
οὔ,not,5,,ἔτελλε,laid upon,1,,κατὰ ἔκηα,I burned,1
καὶ,And,5,,ἥνδανε,did please,1,,μηρί᾽,thigh-pieces,1
σὺν,with,5,,μή νύ,lest,1,,Τενέδοιό,Tenedos,1
δ᾽,And,5,,τὴν δ᾽,Her,1,,χαρίεντ᾽,pleasing,1
τῇ,the,5,,ἐποιχομένην,as she walks to and fro,1,,ἀνάσσεις,rule over,1
τοῦτο,this,5,,ἐρέθιζε,do anger,1,,Σμινθεῦ,Sminthian god,1
Διὸς,of Zeus,4,,σαώτερος,the safer,1,,τοι,to your,1
ἀνδρῶν,of men,4,,ἔκηα,I burned,1,,τίσειαν,let pay for,1
ἐπὶ,to,4,,χαρίεντ᾽,to pleasing,1,,καρήνων,the peaks,1
δὲ,but,4,,Σμινθεῦ,Sminthian,1,,κατ᾽,Down from,1
πάντες,all,4,,τοι,your,1,,ἤϊε,coming,1
τοι,you,4,,Τενέδοιό,over Tenedos,1,,ἐοικώς,was like,1
ὣς,So,4,,τὸ δέ,this,1,,ὃ,his,1
τοι,to you,4,,ἀνάσσεις,rule,1,,μετὰ ἕηκε,let fly,1
Φοῖβος,Phoebus,4,,τίσειαν,let pay,1,,ἰὸν,an arrow,1
Ἀπόλλων,Apollo,4,,καρήνων,from the peaks,1,,αὐτοῖσι,on the men themselves,1
πόδας ὠκὺς,swift-footed,4,,κατ᾽,Down,1,,τῇ δεκάτῃ,on the tenth,1
τ᾽,and,4,,ἐοικώς,like,1,,τῷ,it,1
ἀλλ᾽,but,4,,ἕηκε,let,1,,ὁμηγερέες γένοντο,gathered together,1
Ἀγαμέμνων,Agamemnon,4,,ἰὸν,fly,1,,οἳ,they,1
ὡς,that,4,,αὐτοῖσι,themselves,1,,κεν φύγοιμεν,should we escape,1
ἤν,if,4,,τῇ,the,1,,κέν ἀντιάσας,he may accept,1
δέ,But,4,,δεκάτῃ,on tenth,1,,ἀμῦναι,ward off,1
ὁ,the,4,,ὁμηγερέες,together,1,,καὶ,too,1
ὥσπερ,as,4,,γένοντο,gathered,1,,κ᾽ εἴποι,might say,1
ἢ,Or,4,,οἳ δ᾽,they,1,,ἐπιμέμφεται,finds fault with,1
σοι,you,4,,εἴ κεν φύγοιμεν,should we escape,1,,εὐχωλῆς,a vow,1
αὐτοὺς,them,4,,τ᾽,too,1,,ἄρ᾽,When,1
χρήματα,money,4,,εἴποι,might say,1,,ἡγήσατ᾽,who had guided,1
ἐὰν,if,4,,ἐπιμέμφεται,finds fault,1,,ἣν,his,1
δὲ,But,4,,εὐχωλῆς,with a vow,1,,ἐσσόμενα,were to be,1
τοὺς,their,4,,ἀμῦναι,to ward off,1,,πόρε,had bestowed upon,1
οἱ,their,4,,ἤτοι,When,1,,τά,that,1
ἀρχεῖα,government buildings,4,,ἣν,his own,1,,ἀγορήσατο,addressed the gathering,1
παῖδες,boys,4,,πόρε,upon,1,,ἦ,that,1
ἐξ,from,3,,ἡγήσατ᾽,had guided,1,,πρόφρων,readily,1
δῖος,brilliant,3,,ἐσσόμενα,that were to be,1,,χερσὶν,with hand,1
ὃ,he,3,,ἀγορήσατο,addressed,1,,ἐποίσει,shall lay on,1
δ᾽,but,3,,χερσὶν,with might of hand,1,,σοὶ,you,1
ἄποινα,the ransom,3,,ἀναφαίνεις,you reveal,1,,Δαναοῖσι,the Danaans,1
Ἀχαιοὶ,the Achaeans,3,,ἐποίσει,shall lay,1,,οὐ μὰ Ἀπόλλωνα,by Apollo,1
μ᾽,me,3,,Δαναοῖσι,to the Danaans,1,,ἀναφαίνεις,you reveal to,1
Ἥρη,Hera,3,,Ἀπόλλωνα,Apollo,1,,ἀπέλυσε,release,1
λευκώλενος,white-armed,3,,σοὶ,on you,1,,οὐκ,nor,1
τοῖσι,among them,3,,ἀπέλυσε,did release,1,,ἀρητῆρος,the priest,1
γάρ,for,3,,ἕνεκ᾽,because,1,,ἕνεκ᾽,because of,1
ἐστιν,is,3,,καὶ οὐκ,nor,1,,τοὔνεκ᾽,For this,1
ὅ,He,3,,ἀρητῆρος,of the priest,1,,ἀπὸ δόμεναι,we give back to,1
καί,and,3,,τοὔνεκ᾽,For this cause,1,,τοῖσι,among them,1
μοι,me,3,,δόμεναι,we give,1,,μένεος,rage,1
εἶναι,to be,3,,ἀπὸ,back to,1,,μέγα,wholly,1
τοι,your,3,,τοῖσι δ᾽,and among them,1,,πίμπλαντ᾽,With was filled,1
τι,any,3,,μένεος,With rage,1,,ὀσσόμενος,his look threatened,1
γάρ,For,3,,πίμπλαντ᾽,was wholly filled,1,,τὸ κρήγυον,a pleasant thing,1
ἐμοὶ,me,3,,τὸ κρήγυον,pleasant thing,1,,οὔ,nor,1
πῶς,how,3,,οὔ τ᾽,nor,1,,θεοπροπέων,in prophecy,1
ὄφρ᾽,so that,3,,τοῦδ᾽ ἕνεκά,for this reason,1,,σφιν,them,1
σοὶ,you,3,,κούρης,for the girl,1,,κούρης,the girl,1
πολὺ,far,3,,σφιν,upon them,1,,τεύχει,brings upon,1
ἔγωγε,I,3,,τεύχει,brings,1,,τοῦδ᾽,this,1
οἵ,who,3,,ἑθέν,her,1,,ἕνεκά,for,1
μέγα,great,3,,Κλυταιμνήστρης,Clytemnestra,1,,οὐ οὐ οὔ οὔτέ,either or or or,1
θυμῷ,in heart,3,,ἔμμεναι,be safe,1,,Κλυταιμνήστρης,to Clytemnestra,1
ὡς,how,3,,γέρας,a prize of honour,1,,ἑθέν,to her,1
δ᾽,But,3,,ἔω,I be,1,,σῶν,safe,1
πολλοὶ,many,3,,ὄφρα μὴ,lest,1,,ἔμμεναι,be,1
ἀνδράσιν,men,3,,ἑτοιμάσατ᾽,provide with,1,,γέρας,a prize,1
πρῲ,early,3,,τὸν δ᾽,to him,1,,ἑτοιμάσατ᾽,provide,1
ὅπως,that,3,,ἠμείβετ᾽,In answer spoke,1,,ὄφρα,lest,1
πολλάκις,often,3,,οὐ δέ,nothing,1,,ἔω,be,1
οὐδὲν,not,3,,πολλά,a hoard of wealth,1,,ἠμείβετ᾽ ἔπειτα,In answer spoke,1
ταῦτα,That,3,,ξυνήϊα,in common,1,,κείμενα,a hoard,1
τήμερον,today,3,,τὰ μὲν,whatever,1,,οὐ τί,nothing,1
αὐτὸ,it,3,,ἐπέοικε,it is seemly,1,,ξυνήϊα,wealth in common store,1
ὃ,which,3,,λαοὺς,the army,1,,ἐπέοικε,seemly,1
σὲ,you,3,,Τροίην,Troy,1,,λαοὺς,from the army,1
ἡμῖν,we,3,,κέ ποθι,ever,1,,τὰ,whatever,1
παῖδας,children,3,,αὐτὰρ,and,1,,ποθι,ever,1
ἡμᾶς,we,3,,ἐὼν,are,1,,Τροίην,of Troy,1
πολλῶν,of multitude,3,,οὐ,not,1,,ἐὼν,you are,1
ὑπὸ,by,3,,δέ,while,1,,οὐ οὐ,not nor,1
ὥσπερ,just as,3,,ἄρσαντες,suiting,1,,αὐτὰρ,while,1
οὐκοῦν,Then,3,,ἑλών,bear away,1,,αὔτως,idly,1
δόξῃ,opinion,3,,ἄξω,I will seize,1,,ἄρσαντες,suiting it,1
τοῦτο,that,3,,ὃ δέ,he,1,,ἄξω,I bear away,1
βιωτὸν,worth living,3,,ἑκάεργον,who strikes from afar,1,,ἑλών,will seize,1
τοῖς,their,3,,ἀνδρῶν,men,1,,ὃ,he,1
ἀνθρώπων,men,3,,ῥέξας,by offering,1,,ἀνδρῶν,of men,1
δὴ,then,3,,πάντων,of all,1,,ῥέξας,offering,1
τούτων,of these,3,,ὑπόδρα,from beneath,1,,ἑκάεργον,the god who strikes from afar,1
τὴν,the,3,,προσέφη,spoke to,1,,πάντων,all,1
ἄρχοντες,officers,3,,τίς,any man,1,,ὑπόδρα,from beneath brows,1
μέγα,greatly,3,,ἐδηλήσαντ᾽,did they lay waste,1,,ἐπιειμένε,clothed in,1
πρεσβυτέρους,elders,3,,μάλα πολλὰ,many things,1,,τίς,any,1
θεὰ,goddess,2,,μεταξὺ,between,1,,αἴτιοί εἰσιν,they have done wrong,1
ἄλγε᾽,woes,2,,ποτ᾽,ever,1,,πολλὰ,many,1
ἄρ,then,2,,οὐ πώποτ᾽,Never,1,,μεταξὺ,lie between,1
Διὸς,Zeus,2,,ἀναιδὲς,shameless one,1,,πώποτ᾽,ever,1
στρατὸν,the host,2,,ἀφαιρήσεσθαι,will take,1,,οὐ,Never,1
Ἀτρεΐδης,the son of Atreus,2,,ἔχω,I,1,,ἐδηλήσαντ᾽,they lay waste,1
λαῶν,of the people,2,,ἔρχομ᾽,take,1,,ἀναιδὲς,shameless,1
Ἀχαιούς,the Achaeans,2,,ἴμεν,return,1,,τῶν,This,1
Ἀπόλλωνος,of Apollo,2,,μάλ᾽,then,1,,ἀφαιρήσεσθαι,will take away,1
ἄποινα,ransom,2,,ἐμεῖο,my sake,1,,ἔχω,have I,1
θύγατρα,daughter,2,,εἵνεκ᾽,for,1,,τὸ,The,1
πάντας,all,2,,ἔδωκεν,gave,1,,πλεῖον,brunt,1
πόλιν,the city,2,,ἄνασσε,lord it over,1,,ἔχων,take,1
ἀγλαὰ,glorious,2,,τὴν μὲν,her,1,,ἴμεν,to return,1
ἄλλοι,the rest,2,,στυγέῃ,may shrink,1,,φέρτερόν,better,1
θεοῖο,of the god,2,,ὁμοιωθήμεναι,likening to,1,,ἐμεῖο,my,1
σκῆπτρον,staff,2,,δέ,but,1,,εἵνεκ᾽,for sake,1
μιν,her,2,,ἀφαιρεῖται,takes from,1,,ἔδωκεν,who gave,1
ἔφατ᾽,he spoke,2,,ἔμ᾽,me,1,,κοτέοντος,wrath,1
ὃ,the,2,,μερμήριξεν,was divided,1,,ἄνασσε,lord over,1
ἔπειτ᾽,then,2,,ἐρυσσάμενος,should draw,1,,ὁμοιωθήμεναι,likening,1
αἰγῶν,goats,2,,ἄμφω,both men alike,1,,δέ,I,1
ἠδ᾽,and,2,,ἧκε,had sent,1,,ἐγὼ,but,1
Χρύσην,Chryse,2,,ἐτράπετ᾽,turned,1,,ἀφαιρεῖται,takes,1
ἐπὶ,over,2,,μετὰ,around,1,,στυγέῃ,may shrink from,1
ἐμὰ,my,2,,καί,Then,1,,ἔμ᾽,from me,1
ἐπ᾽,on,2,,τέκος,daughter,1,,ἐρυσσάμενος,draw,1
πρῶτον,first,2,,τὸ δὲ,this,1,,μὲν,and,1
λαὸν,the people,2,,ἐρέω,I will tell,1,,διάνδιχα μερμήριξεν,was divided,1
θεὰ,the goddess,2,,ποτε,presently,1,,τοὺς,the,1
ὀΐω,I think,2,,τὸν δ᾽,Him,1,,ὁμῶς,alike,1
ἄγε,come,2,,ἧκε,sent,1,,πρὸ ἧκε,had sent forth,1
ἡμῖν,us,2,,χειρί,with hand,1,,ἄμφω,both men,1
λοιγὸν,the pestilence,2,,ἕλκεο,do grasp,1,,γὰρ,for,1
εἰπὼν,had spoken,2,,τὸ δὲ,this thing,1,,μετὰ ἐτράπετ᾽,turned around,1
ὣς,thus,2,,ὕβριος,of arrogance,1,,φωνήσας,said,1
οἱ,him,2,,καί ποτέ,Hereafter,1,,ἔκ ἐρέω,I will tell,1
ἀνέστη,arose,2,,εἵνεκα,on account,1,,τάχ᾽,presently,1
ἄριστος,the best,2,,τὴν δ᾽,her,1,,τὸν,Him,1
μετέειπεν,spoke among,2,,ἀπαμειβόμενος,In answer,1,,ἄμφω,both of you,1
Διῒ,to Zeus,2,,κεχολωμένον,angered a man be,1,,πρὸ ἧκε,sent forth,1
πάντων,all,2,,ἄμεινον,better,1,,χειρί,with your hand,1
Ἀχαιοί,the Achaeans,2,,ὅς κε,Whoever,1,,ἕλκεο,grasp,1
δὲ,then,2,,ξίφος,the sword,1,,καὶ,truly,1
ἀπαμειβόμενος,In answer,2,,ἀπίθησε,did disobey,1,,τὸ,this thing,1
φίλον,dear,2,,ἣ δ᾽,She,1,,ποτέ,Hereafter,1
οὔ,no,2,,Οὔλυμπον,to Olympus,1,,εἵνεκα,on account of,1
ἢν,if,2,,βεβήκει,returned,1,,ὕβριος,arrogance,1
τότε,Then,2,,δαίμονας,the gods,1,,ἀπαμειβόμενος,In answer to,1
ὃν,whom,2,,ἔχων,with,1,,κεχολωμένον,angered be,1
ἔτι,still,2,,θυμῷ,courage,1,,ἄμεινον,is it better,1
ἑκατόμβην,a hecatomb,2,,τὸ δέ,That,1,,ὅς,Whoever,1
ἐς,to,2,,εἴδεται,seems,1,,ἀπίθησε,disobey,1
ὄσσε,eyes,2,,σέθεν,to you,1,,ξίφος,sword,1
οἱ,his,2,,ἀντίον,contrary,1,,μετὰ,to,1
ἐν,among,2,,ἐρέω,I will speak out,1,,βεβήκει,returned to,1
καὶ,even,2,,ἀναθηλήσει,shall it again grow green,1,,Οὔλυμπον,Olympus,1
ὧς,so,2,,οὔ ποτε,never,1,,δαίμονας,of the gods,1
τό,this,2,,τὸ μὲν,that,1,,ἣ,She,1
μοι,my,2,,ἔλεψε,has stripped,1,,τέτληκας,have you had courage,1
ὅ,that,2,,φύλλά,leaves,1,,τὸ,That,1
Ἀτρεΐδη,son of Atreus,2,,εἰρύαται,that come,1,,εἴδεται,seems as,1
γέρας,a prize,2,,δικασπόλοι,judges,1,,ἀντίον,contrary to,1
μεγάθυμοι,great-hearted,2,,φορέουσι,when they act,1,,σέθεν,you,1
αἴ,if,2,,Ἀχιλλῆος,for Achilles,1,,ἂν λωβήσαιο,would be insolence,1
ἐπεὶ,for,2,,ποθὴ,a longing,1,,ἔκ ἐρέω,I will speak out,1
αὐτὸς,yourself,2,,πίπτωσι,shall fall,1,,ναὶ μὰ,by,1
αὐτὸς,myself,2,,ἔτισας,you did honour to,1,,οὔ ποτε,never more,1
καλλιπάρῃον,fair-cheeked,2,,ἔνδοθι,within,1,,ἀναθηλήσει,shall it grow green,1
Χρυσηΐδα,the daughter of Chryses,2,,ἥλοισι,with nails,1,,φύσει,shall put forth,1
ἢ,either,2,,πεπαρμένον,studded,1,,περὶ ἔλεψε,has stripped on all sides,1
εἷς,one,2,,ἑτέρωθεν,against,1,,φύλλά,of leaves,1
δεῦρο,here,2,,ἐμήνιε,continued to vent,1,,φορέουσι,carry,1
πρὸς,from,2,,λιγὺς,clear-voiced,1,,δικασπόλοι,when they act as judges,1
οὐ,no,2,,ἀγορητής,the orator,1,,εἰρύαται,who guard,1
ᾧ,which,2,,τράφεν,reared,1,,ποθὴ,a longing for,1
υἷες,the sons,2,,ἐγένοντο,had been born,1,,Ἀχιλλῆος,Achilles,1
δ᾽,while,2,,Ἀχαιΐδα,Achaea,1,,ἂν πίπτωσι,shall fall,1
οἴκαδ᾽,home,2,,πόποι,Comrades,1,,ἔνδοθι,within you,1
ἐστιν,it is,2,,Τρῶες,the Trojans,1,,ἔτισας,you honour,1
ἄλλοι,others,2,,πυθοίατο,hear,1,,πεπαρμένον,studded with,1
εἰ,If,2,,περὶ,in,1,,ἥλοισι,nails,1
ἑτάροισι,companions,2,,σφῶϊν,you two,1,,ἐμήνιε,continued to vent wrath,1
σοῖς,your,2,,ἐστὲ,are,1,,ἑτέρωθεν,over against,1
ὧδε,thus,2,,μάχεσθαι,war,1,,ἀγορητής,orator,1
ὡς,as,2,,βουλὴν,counsel,1,,λιγὺς,the clear-voiced,1
σὸν,your,2,,πίθεσθ᾽,Listen to me,1,,ἠδ᾽,and,1
Ἀτρεΐδην,the son of Atreus,2,,ἐστὸν,you are,1,,τράφεν,had been born,1
οὐρανόθεν,from heaven,2,,ἀθέριζον,did despise,1,,ἐγένοντο,reared,1
κατὰ,in,2,,ὑμῖν,than you,1,,Ἀχαιΐδα,of Achaea,1
Ἀθήνη,Athene,2,,οὐ δὲ,nor,1,,περὶ ἐστὲ,are chief,1
αἰγιόχοιο,aegis-bearing,2,,ἐμάχοντο,they fought,1,,σφῶϊν,of you two,1
αὐτοῦ,him,2,,καρτίστοις,with the mightiest,1,,μάχεσθαι,in war,1
Πηλεΐδης,the son of Peleus,2,,αἰσχύνομαι,I am afraid,1,,Τρῶες,of the Trojans,1
ἀνθρώπων,of men,2,,ἀγὼν τῆς δίκης,trial,1,,πυθοίατο,they hear,1
τάδε,this,2,,τινὶ,a sort of,1,,βουλὴν,in counsel,1
πάντα,all,2,,δοκεῖν,think,1,,πίθεσθ᾽,Listen,1
ἐπιτηδείων,friends,2,,δυνατὸν,possible,1,,ἄμφω,you both,1
σοῦ,you,2,,δόξῃ,people will think that,1,,ἐστὸν,are,1
ἡμᾶς,us,2,,ἐσώσαμεν,we did save,1,,ἠέ,than,1
καὶ καὶ,both and,2,,καὶ,quite,1,,ὑμῖν,you,1
οὐδὲ,not,2,,κακίᾳ,base,1,,ἀθέριζον,despise,1
οὐχὶ,not,2,,ὡς,the fact that,1,,καρτίστοις,the mightiest,1
σοί,to you,2,,οἷόν τε,though,1,,ἐμάχοντο,with they fought,1
ἡμῖν,to us,2,,ὅρα,Take care that,1,,αἰσχύνομαι,am shamed,1
ἀφῖξαι,have you come,2,,ταῦτα,these things,1,,τῇ ἡμετέρᾳ,on our part,1
ἵνα,that,2,,μία,just one possible,1,,δόξῃ,will think,1
οὐδ᾽,not,2,,ἔτι,any longer,1,,καὶ,both,1
τί,why,2,,οἷόν τε,it can,1,,δυνατὸν,quite,1
πλοῖον,ship,2,,μᾶλλον δὲ,or rather,1,,τινὶ,sort of,1
ἐκεῖ,there,2,,δεῖ,must,1,,δοκεῖν,will think,1
ἥξει,it will come,2,,πεπρᾶχθαι,be done,1,,ἐξὸν,it might,1
οὖν,Now,2,,ὥρα,it is time,1,,κατάγελως,the crowning absurdity,1
δεῖ,must,2,,οὖν,Yes,1,,τουτί,that,1
τοίνυν,Well,2,,βαθύς,Just,1,,οἵτινές,since,1
ἦν,was,2,,ὄρθρος,before dawn,1,,περὶ σὲ,of yours,1
τί,What,2,,φοιτᾶν,come,1,,ἀγὼν,trial,1
ἐνύπνιον,dream,2,,συνήθης,used to,1,,ἐσώσαμεν,we save,1
ἔτι,besides,2,,μοί,me,1,,οἷόν τε ὂν,it was possible,1
οἳ,who,2,,ἐπιεικῶς,little,1,,ὅρα,Take care,1
ἀναλίσκειν,to spend,2,,παρακάθησαι,sitting,1,,τε καὶ,both and,1
φίλους,friends,2,,ἐπήγειράς,did you wake,1,,οἷόν τε,it can be done,1
ἐνθένδε,from here,2,,ἀλλὰ,instead of,1,,ὥρα,time,1
μᾶλλον,more,2,,ὡς ἥδιστα,as pleasantly as possible,1,,πεπρᾶχθαι,done,1
μέγιστα,greatest,2,,θαυμάζω,I have been wondering at,1,,μᾶλλον,rather,1
δόξης,opinion,2,,σοῦ,you,1,,μία,just one,1
τοῦτον,this,2,,οὐ μὰ,No no,1,,δὲ,or,1
ἡμῖν,for us,2,,τὸν Δία,by Zeus,1,,δεῖ,must be,1
ἄλλων,other,2,,οὐκ ἤγειρον,refrained from waking,1,,πείθου μοι,do as I say,1
μήτε,not,2,,τοῦ,a,1,,μηδαμῶς ἄλλως ποίει,don t refuse,1
ὅτι,what,2,,ἐν,throughout,1,,πάνυ μὲν οὖν,Yes very,1
σαυτὸν,yourself,2,,πολὺ μάλιστα,more than ever,1,,ὄρθρος βαθύς,Just before dawn,1
μηδένα,no one,2,,παντὶ,hitherto,1,,εὐεργέτηται ὑπ᾽ ἐμοῦ,I have done for him,1
ὥστε,so that,2,,τρόπου,of disposition,1,,μοί,to me,1
δέ,And,2,,ἀγανακτεῖν,were disturbed,1,,συνήθης,used,1
ἀνὴρ,a man,2,,εἰ,because,1,,τὸ φοιτᾶν,come,1
ἀεὶ,always,2,,ἐπιλύεται,does prevent,1,,ἀλλὰ,instead,1
ἂν,if,2,,ἀγανακτεῖν,being disturbed,1,,ἐπήγειράς,you wake,1
καλῶς,right,2,,ἐπιτηδείοις,friends,1,,παρακάθησαι,sitting by,1
πάσας,all,2,,δοκεῖν μοι,I think,1,,οὐ,No,1
τὰς,the,2,,αὔριον,tomorrow,1,,ἀγρυπνίᾳ,sleepless,1
ναί,Yes,2,,οἶμαι,I do think,1,,σοῦ,at you,1
ἑνὸς,of one man,2,,ταύτῃ,so,1,,τοσαύτῃ,so,1
μόνου,only,2,,ἔστω,be it,1,,μὰ τὸν Δία,by Zeus,1
ἐπαίνους,praise,2,,τούτων,of these matters,1,,ἥδιστα,as pleasantly as possible,1
ἑνὶ,one man,2,,φασί,say,1,,οὐκ ἤγειρον,I refrained from waking,1
αὐτοῦ,his,2,,τοι,those,1,,θαυμάζω,I have been wondering,1
πολλῶν,of many,2,,οὐκ ἐγεῖραί,let sleep,1,,λύπῃ,sorrowful,1
εἰς,upon,2,,προσελθοῦσα,came to me,1,,πρότερον,hitherto,1
τί,what,2,,ἵκοιο,thou wouldst come to,1,,τρόπου,of a disposition,1
ἔστι,is,2,,ἐδόκει μοι,I dreamed,1,,μάλιστα,more than ever,1
ἀδίκων,wrong,2,,τὸ,A,1,,ἐν παντὶ,throughout,1
δίκαιον,right,2,,ἴσασιν,do know,1,,παρεστώσῃ,resent,1
δικαίων,right,2,,εὑρήσω,can find,1,,εἰ,if,1
τῶν,their,2,,οἷον,as,1,,ἀγανακτεῖν,disturbed,1
ἄνδρες,men,2,,ἐπιτηδείου,a friend,1,,ὄντα,I were,1
πείθεσθαι,obeyed,2,,οἷός ὤν,I could have,1,,ἐπιλύεται,prevent from,1
ἀγέλαι,herds,2,,ἔτι καὶ νῦν,even now,1,,τὸ ἀγανακτεῖν,being disturbed,1
αὐτῶν,them,2,,τοιούτου,such,1,,μὴ οὐχὶ,in the least,1
δὲ,however,2,,προθυμουμένων,refused,1,,ὡς,though,1
ἔθνη,nations,2,,ταύτης,that,1,,τοῖς ἐπιτηδείοις,friends,1
τἆλλα,other,2,,ἠθέλησας,we were eager,1,,φαίνεται,apparently,1
ἐθνῶν,nations,2,,ἡμῶν,you,1,,με,I,1
ἔτι καὶ νῦν,even to this day,2,,δόξα,reputation,1,,δοκεῖν,think,1
τούτων,these,2,,περὶ πλείονος,of more importance,1,,εἰς αὔριον,tomorrow,1
οὔτε,not,2,,μέλει,do care,1,,σε,your,1
Περσῶν,of the Persians,2,,ἐπιεικέστατοι,most reasonable men,1,,ἀνάγκη ἔσται,must,1
ὁ Κῦρος,Cyrus,2,,μακάριε,my dear,1,,οἶμαι,I think,1
βασιλεὺς,the king,2,,εἰσὶν,is,1,,ἔστω,be,1
πολέμῳ,war,2,,πολλοὶ,people,1,,ταύτῃ,it,1
ὅταν,when,2,,ἦσαν,they might be,1,,τεκμαίρῃ,is reason for,1
τι,one,2,,τύχωσι,occurs,1,,τούτων,of these,1
δεῖ,they must,2,,δυνατοὶ,able,1,,δὴ,So,1
νόμοι,laws,2,,οὐδέτερα,neither of the two,1,,οἱ κύριοι,who have charge,1
αὐτοὺς,themselves,2,,οὔτε οὔτε,not or,1,,φασί,those say,1
οἱ,The,2,,οἷοί εἶναι,could,1,,τῆς ἑτέρας,tomorrow,1
πολῖται,citizens,2,,κίνδυνον,risk,1,,τεκμαίρομαι,my reason is,1
ὧδε,as follows,2,,ἔασον,let,1,,κεν ἵκοιο,thou wouldst come to,1
παῖδας,boys,2,,πρὸς,besides,1,,προσελθοῦσα,came to,1
ἀλλήλους,one another,2,,ἡμεῖς,us,1,,οὖν,at any rate,1
κολάζουσι,they punish,2,,συχνὰ,a good deal of,1,,νῦν,now,1
μάλιστα,most,2,,τι,in some way,1,,ἴσασιν,know,1
δοκεῖ,it seems,2,,σώσαντές,provided we save,1,,οἷός τ᾽ ὤν,I could have,1
ὁρῶσι,they see,2,,ἔτι,even,1,,τοιούτου,such as,1
